Wall time,Step,Value
1516702840.6590452,0,0.31388211250305176
1516702847.8370943,1,0.42036592960357666
1516702854.7918186,2,0.4354034960269928
1516702861.7822928,3,0.44482043385505676
1516702868.812688,4,0.4511817693710327
1516702875.9744797,5,0.4608663022518158
1516702882.9531202,6,0.4715740382671356
1516702890.0996783,7,0.47568684816360474
1516702897.5062773,8,0.4873044788837433
1516702904.6772454,9,0.4826425611972809
1516702912.0217814,10,0.49950259923934937
1516702919.4114325,11,0.5013154149055481
1516702926.368316,12,0.5006169080734253
1516702933.4347649,13,0.5124890208244324
1516702940.6693904,14,0.5134129524230957
1516702947.7544785,15,0.5154764652252197
1516702954.7693193,16,0.5176253914833069
1516702961.8616946,17,0.5190153121948242
1516702969.337856,18,0.5174229741096497
1516702976.6006334,19,0.5238659381866455
1516702983.8611696,20,0.5301940441131592
1516702990.8455741,21,0.5300792455673218
1516702997.8225663,22,0.5369055271148682
1516703004.9282465,23,0.538054347038269
1516703012.0483248,24,0.533056914806366
1516703019.0442512,25,0.5405945777893066
1516703025.899035,26,0.5413870215415955
1516703032.7823205,27,0.5444873571395874
1516703039.6682236,28,0.5455698370933533
1516703046.6008744,29,0.5420265197753906
1516703053.5021133,30,0.5466471314430237
1516703060.4093404,31,0.5410507321357727
1516703067.3514602,32,0.5506194829940796
1516703074.2896717,33,0.5486114025115967
1516703081.2194853,34,0.5484919548034668
1516703088.1276977,35,0.5502007007598877
1516703095.101962,36,0.5538273453712463
1516703102.0091574,37,0.549874484539032
1516703109.0177736,38,0.5583057999610901
1516703116.077013,39,0.5585743188858032
1516703123.0776253,40,0.5549448132514954
1516703130.0741067,41,0.5610230565071106
1516703137.0879097,42,0.5528390407562256
1516703144.2669692,43,0.5599886775016785
1516703151.2892852,44,0.5569540858268738
1516703158.2370498,45,0.5666617155075073
1516703165.2452035,46,0.5623661875724792
1516703172.2192957,47,0.5626495480537415
1516703179.1658156,48,0.5607592463493347
1516703186.2045016,49,0.5659064054489136
1516703193.252789,50,0.5657379031181335
1516703200.2976873,51,0.5646827816963196
1516703207.4233243,52,0.5649927258491516
1516703214.5956779,53,0.5664297938346863
1516703221.599017,54,0.5699666738510132
1516703228.5461056,55,0.5688788890838623
1516703235.7407002,56,0.5648697018623352
1516703242.804557,57,0.5725785493850708
1516703250.137314,58,0.5645722150802612
1516703257.4429944,59,0.5727622509002686
1516703264.725985,60,0.5710649490356445
1516703271.9687057,61,0.5766572952270508
1516703279.202663,62,0.5669553279876709
1516703286.4378052,63,0.569980800151825
1516703293.5990915,64,0.5685685873031616
1516703300.6818569,65,0.5703494548797607
1516703307.7601607,66,0.5765789747238159
1516703314.8560567,67,0.5743014812469482
1516703321.8840756,68,0.5729449391365051
1516703328.990147,69,0.5756414532661438
1516703336.0854406,70,0.5829105377197266
1516703343.148338,71,0.5682376623153687
1516703350.2248046,72,0.5825914740562439
1516703357.2962947,73,0.5804267525672913
1516703364.3382454,74,0.5781259536743164
1516703371.4537659,75,0.5775378346443176
1516703378.5519643,76,0.5732600688934326
1516703385.6209311,77,0.5774029493331909
1516703392.6661298,78,0.580864429473877
1516703399.8067718,79,0.5854902863502502
1516703406.901428,80,0.5766201019287109
1516703413.9629862,81,0.5832624435424805
