Wall time,Step,Value
1516702840.6590886,0,0.1617424041032791
1516702847.837137,1,0.12461768835783005
1516702854.791863,2,0.1167168915271759
1516702861.7823367,3,0.11183289438486099
1516702868.8127303,4,0.10983597487211227
1516702875.974523,5,0.10743650048971176
1516702882.953174,6,0.10505741089582443
1516702890.0997205,7,0.10342802852392197
1516702897.5063207,8,0.10131252557039261
1516702904.6772895,9,0.1015741378068924
1516702912.0218256,10,0.0980532094836235
1516702919.411474,11,0.09776346385478973
1516702926.3683581,12,0.0974591076374054
1516702933.4348083,13,0.09603378176689148
1516702940.6694472,14,0.09490400552749634
1516702947.7545228,15,0.0946296751499176
1516702954.7693624,16,0.0939110815525055
1516702961.861735,17,0.09350502490997314
1516702969.3378985,18,0.09282553195953369
1516702976.6006768,19,0.09215810149908066
1516702983.861212,20,0.09106255322694778
1516702990.845617,21,0.09005554765462875
1516702997.8226087,22,0.08960987627506256
1516703004.9282916,23,0.08980192244052887
1516703012.048368,24,0.08916629105806351
1516703019.044294,25,0.08856658637523651
1516703025.8990772,26,0.08832307159900665
1516703032.7823653,27,0.08728310465812683
1516703039.6682787,28,0.08709971606731415
1516703046.6009166,29,0.08710987120866776
1516703053.5021555,30,0.08723708987236023
1516703060.4093847,31,0.08711612969636917
1516703067.3515043,32,0.08626682311296463
1516703074.2897124,33,0.08676318824291229
1516703081.2195282,34,0.0854656770825386
1516703088.1277406,35,0.08625753223896027
1516703095.1020043,36,0.08575478196144104
1516703102.0092003,37,0.08540107309818268
1516703109.0178177,38,0.08453764021396637
1516703116.0770555,39,0.08471669256687164
1516703123.0776691,40,0.085309237241745
1516703130.0741484,41,0.0842060074210167
1516703137.0879517,42,0.08432406932115555
1516703144.2670135,43,0.08319514244794846
1516703151.2893279,44,0.08460614085197449
1516703158.2370923,45,0.08372340351343155
1516703165.2452571,46,0.08322915434837341
1516703172.2193387,47,0.08345440030097961
1516703179.1658685,48,0.08343172073364258
1516703186.2045584,49,0.08336535841226578
1516703193.252923,50,0.08254634588956833
1516703200.2977307,51,0.08310971409082413
1516703207.4233682,52,0.08278407156467438
1516703214.5957222,53,0.08309189230203629
1516703221.5990586,54,0.08266127109527588
1516703228.5461483,55,0.08208391070365906
1516703235.740743,56,0.08183816075325012
1516703242.804599,57,0.08167337626218796
1516703250.1373675,58,0.08283746987581253
1516703257.443037,59,0.08105673640966415
1516703264.7260282,60,0.08215489983558655
1516703271.9687464,61,0.0821312814950943
1516703279.2027173,62,0.08192945271730423
1516703286.437848,63,0.08049027621746063
