Wall time,Step,Value
1516708965.2238948,0,0.19167262315750122
1516708972.028988,1,0.13224773108959198
1516708978.8078141,2,0.11942164599895477
1516708985.5653217,3,0.11422628909349442
1516708992.5562742,4,0.11166161298751831
1516708999.8007495,5,0.10943346470594406
1516709006.7096386,6,0.10738608986139297
1516709013.393542,7,0.10597159713506699
1516709020.108217,8,0.10421810299158096
1516709026.834579,9,0.1039963886141777
1516709033.5252945,10,0.10116153210401535
1516709040.2495894,11,0.09982758015394211
1516709046.9810634,12,0.09948159009218216
1516709053.761918,13,0.09796391427516937
1516709060.6248233,14,0.09665243327617645
1516709067.3846648,15,0.09612637013196945
1516709074.1370344,16,0.09628693759441376
1516709080.8351853,17,0.09599120169878006
1516709087.5521007,18,0.09406885504722595
1516709094.3940403,19,0.09361691027879715
1516709101.1927264,20,0.0933455154299736
1516709107.8745146,21,0.09268131107091904
1516709114.5934324,22,0.09239805489778519
1516709121.2751486,23,0.09264157712459564
1516709127.9524956,24,0.09165243059396744
1516709134.7366977,25,0.09123750776052475
1516709141.5984008,26,0.09198044240474701
1516709148.2732778,27,0.09062511473894119
1516709154.9509218,28,0.09049574285745621
1516709161.6460857,29,0.090164415538311
1516709168.3651555,30,0.09006723016500473
1516709175.0154114,31,0.0895029678940773
1516709181.8619263,32,0.09019847214221954
1516709188.7720478,33,0.08981285244226456
1516709195.7204142,34,0.08874861150979996
1516709202.6735017,35,0.08881884813308716
1516709209.6693814,36,0.08812744170427322
1516709216.546216,37,0.08789670467376709
1516709223.4558785,38,0.08844596892595291
1516709230.273646,39,0.08803978562355042
1516709236.95491,40,0.0883517637848854
1516709243.678442,41,0.08739489316940308
1516709250.3678985,42,0.08719506859779358
1516709257.0968802,43,0.08699089288711548
1516709263.775666,44,0.08742179721593857
1516709270.480314,45,0.08726084232330322
1516709277.2684538,46,0.08720118552446365
1516709284.030317,47,0.0867142379283905
1516709290.9223018,48,0.08635735511779785
1516709297.7684584,49,0.0869181826710701
1516709304.5659237,50,0.08755962550640106
1516709311.321196,51,0.08580564707517624
1516709318.0881584,52,0.08572712540626526
1516709324.776302,53,0.08661479502916336
1516709331.3988137,54,0.08709395676851273
1516709337.9994338,55,0.08635057508945465
1516709344.829175,56,0.08541125804185867
1516709351.544754,57,0.08509678393602371
1516709358.2157564,58,0.08547186851501465
1516709364.8139503,59,0.08453923463821411
1516709371.5207026,60,0.08488059043884277
1516709378.1900876,61,0.08515027165412903
1516709384.9083943,62,0.08565272390842438
1516709391.5374281,63,0.08407655358314514
1516709398.172749,64,0.08485715836286545
1516709404.8031065,65,0.08453428745269775
1516709411.4066336,66,0.08382711559534073
1516709418.0603933,67,0.08393988013267517
1516709424.7275045,68,0.08468341827392578
1516709431.3874424,69,0.08378177136182785
1516709438.0524068,70,0.08370766043663025
1516709444.6676333,71,0.08437706530094147
1516709451.316016,72,0.08313625305891037
1516709457.9473429,73,0.08340055495500565
1516709464.6389542,74,0.08418263494968414
1516709471.3968968,75,0.08303247392177582
1516709478.155338,76,0.08371562510728836
1516709485.2785797,77,0.08322446048259735
1516709492.043922,78,0.08314502984285355
1516709498.8195574,79,0.08348777145147324
1516709505.5927556,80,0.08281717449426651
1516709512.326504,81,0.08282461762428284
1516709519.070478,82,0.08300290256738663
1516709526.1176963,83,0.08349528908729553
1516709532.8480284,84,0.08266574889421463
1516709539.5542512,85,0.0833357498049736
1516709546.4189212,86,0.0826491266489029
1516709553.2169578,87,0.082251638174057
1516709560.067986,88,0.08280593901872635
1516709566.7555997,89,0.08183087408542633
1516709573.6367111,90,0.08295546472072601
1516709580.4629357,91,0.08208960294723511
1516709587.18313,92,0.08280599862337112
1516709593.8379006,93,0.08273898810148239
1516709600.4754794,94,0.08142882585525513
1516709607.031609,95,0.08230505138635635
1516709613.589936,96,0.08231367915868759
1516709620.164286,97,0.08221088349819183
1516709626.8257658,98,0.0815415009856224
1516709633.4141042,99,0.08243012428283691
1516709640.0441165,100,0.08205290883779526
1516709646.639647,101,0.08173786848783493
1516709653.472939,102,0.08161303400993347
1516709660.0684566,103,0.08127056062221527
1516709666.6645825,104,0.08123911172151566
1516709673.2410426,105,0.08131159842014313
1516709679.8515487,106,0.08111423254013062
1516709686.4620132,107,0.08146408945322037
1516709693.0602484,108,0.08078249543905258
1516709699.6205041,109,0.08179136365652084
1516709706.1933558,110,0.08099716156721115
1516709712.7705884,111,0.08102123439311981
1516709719.4600627,112,0.08098740130662918
1516709726.0707421,113,0.08034683763980865
1516709732.6917262,114,0.08084236830472946
1516709739.2641413,115,0.08104925602674484
1516709745.9005747,116,0.08096354454755783
1516709752.5213528,117,0.08104376494884491
1516709759.1638858,118,0.08005617558956146
1516709765.8181703,119,0.08138592541217804
1516709772.5415668,120,0.08070390671491623
1516709779.2664545,121,0.08111505955457687
1516709786.061383,122,0.08089903742074966
1516709792.8278039,123,0.08009538054466248
1516709799.5671163,124,0.08038072288036346
1516709806.5812898,125,0.08026514947414398
1516709813.3666942,126,0.08107275515794754
1516709820.0481832,127,0.08009757101535797
